City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
551,Trairi,BR,85.48,broken clouds,-3.2778,-39.2689,janelas do mar
552,Palau,PW,80.56,broken clouds,7.503,134.621,PALAU SUNRISE SEA VIEW LANDISON RETREAT
553,Caiaponia,BR,75.96,clear sky,-16.9567,-51.8103,HOTEL PALACE AVENIDA & CAIAPÓ TURISMO
554,Ternate,ID,82.26,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
556,Daliao,PH,81.12,broken clouds,5.8611,124.9533,Joel L. Pagaran
559,Yaan,NG,79.5,overcast clouds,7.3833,8.5667,
564,Soverato,IT,78.75,broken clouds,38.685,16.5499,Hotel San Domenico
565,Jatiroto,ID,77.88,overcast clouds,-7.8833,111.1167,Mushola Al Huda
566,Kuhdasht,IR,78.31,clear sky,33.535,47.6061,فروشگاه زنبیل
575,Banda Aceh,ID,79.5,moderate rain,5.5577,95.3222,Sulthan Hotel International
580,Sinazongwe,ZM,87.35,broken clouds,-17.2614,27.4618,Lakeview Lodge
583,San Patricio,US,75.04,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
584,Fare,PF,78.64,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
585,Tucurui,BR,80.37,moderate rain,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
586,Kirakira,SB,80.08,overcast clouds,-10.4544,161.9205,SanBiz Lodge
587,Bull Savanna,JM,75.61,scattered clouds,17.8868,-77.5902,Big Red's
589,Marsabit,KE,79.61,scattered clouds,2.3284,37.9899,Chicho Hotel
596,Mogadishu,SO,82.56,few clouds,2.0371,45.3438,Hotel Juba
597,Tahta,EG,84.04,clear sky,26.7693,31.5021,مصطفي عساف
600,Mitsamiouli,KM,78.84,broken clouds,-11.3847,43.2844,Foyer ADM
603,Muli,MV,82.62,scattered clouds,2.9167,73.5667,Medhufushi Island Resort
605,Kutum,SD,87.58,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
610,Qui Nhon,VN,79.41,light rain,13.7667,109.2333,Hoang Yen Canary Hotel
612,Marsh Harbour,BS,79.43,light rain,26.5412,-77.0636,Abaco Beach Resort
617,Bubaque,GW,82.15,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
626,Maceio,BR,85.44,scattered clouds,-9.6658,-35.7353,Poutur Pousada
638,Vanimo,PG,79.02,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
639,Ramanuj Ganj,IN,77.97,clear sky,23.8,83.7,HOTEL SAI SIDDHI
642,Ewa Beach,US,75.15,clear sky,21.3156,-158.0072,Uncle Junior Robert
643,Cabedelo,BR,83.07,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
645,Sederot,IL,82.9,few clouds,31.525,34.5969,Ginkhou Inn
652,Denizli,TR,76.05,clear sky,37.8402,29.0698,Anemon Denizli Hotel
655,Sabang,ID,81.81,overcast clouds,5.8933,95.3214,Hotel Citra
659,Port Hedland,AU,82.45,clear sky,-20.3167,118.5667,The Esplanade Hotel
660,Kudahuvadhoo,MV,82.63,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
662,Amapa,BR,76.95,broken clouds,1.0,-52.0,
665,Caucaia,BR,86.07,broken clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
667,Plaridel,PH,87.78,overcast clouds,14.8872,120.8572,St. Agatha Resort
670,Itacoatiara,BR,75.83,overcast clouds,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
671,Daru,PG,80.17,overcast clouds,-9.0763,143.2092,Daru Lodge
672,Santa Cruz,BO,79.48,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
673,Praya,CV,88.34,clear sky,14.9215,-23.5087,LT Aparthotel
685,Bonthe,SL,82.9,light rain,7.5264,-12.505,Bonthe Holiday Village
686,Asyut,EG,82.81,clear sky,27.181,31.1837,Florence Hotel Assiut
688,Soc Trang,VN,78.76,overcast clouds,9.6033,105.98,Phu Quy Hotel
689,Ipameri,BR,76.15,clear sky,-17.7219,-48.1597,Real Hotel
690,Le Port,RE,84.88,scattered clouds,-20.9373,55.2919,KORBEY D'OR OUEST
691,Sao Felix Do Xingu,BR,75.4,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
692,Lalmohan,BD,82.45,scattered clouds,22.3384,90.7419,Sundorbon courier service
693,Netivot,IL,81.61,few clouds,31.4222,34.5886,"'בית החסד - מוסדות מאורות נתן' - מיסודו של הרב נתן בוקובזה זצוק""ל"
