City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
142,Castro,BR,-24.7911,-50.0119,58.51,73,2,3.36,clear sky
143,Kaseda,JP,31.4167,130.3167,64.51,54,90,20.15,overcast clouds
144,Palmas,BR,-10.2128,-48.3603,80.47,74,40,1.14,scattered clouds
145,Betsiamites,CA,48.9413,-68.646,53.49,96,100,14.58,overcast clouds
146,Lompoc,US,34.6391,-120.4579,60.1,92,90,3.44,mist
147,Huaiyuan,CN,32.973,117.1995,57.16,49,92,4.7,light rain
148,San Juan,AR,-31.5375,-68.5364,67.19,38,0,16.96,clear sky
149,Ndele,CF,8.4109,20.6473,84.87,60,76,2.04,broken clouds
150,Fiumicino,IT,41.7675,12.2291,77.07,74,75,8.05,broken clouds
151,Ostrovnoy,RU,68.0531,39.5131,36.09,71,100,23.38,overcast clouds
152,Morondava,MG,-20.2833,44.2833,77.43,59,6,12.08,clear sky
153,Gazimurskiy Zavod,RU,51.5461,118.3266,31.12,88,12,4.25,few clouds
154,Ilulissat,GL,69.2167,-51.1,4.26,78,14,6.11,few clouds
155,Jijiga,ET,9.35,42.8,80.76,24,74,14.54,broken clouds
156,Broken Hill,AU,-31.95,141.4333,75.96,30,3,20.69,clear sky
157,Yellowknife,CA,62.456,-114.3525,39.56,93,2,17.0,clear sky
158,Bairiki,KI,1.3292,172.9752,80.6,83,75,6.91,broken clouds
159,Atuona,PF,-9.8,-139.0333,77.88,77,37,19.44,scattered clouds
160,Savannah,US,32.0835,-81.0998,71.94,94,1,0.0,clear sky
161,Anloga,GH,5.7947,0.8973,82.8,75,85,9.08,moderate rain
162,Caxito,AO,-8.5785,13.6643,88.41,48,96,3.74,overcast clouds
163,Constitucion,CL,-35.3333,-72.4167,48.79,64,3,8.32,clear sky
164,Visby,SE,57.6409,18.296,48.06,66,75,18.41,broken clouds
165,Kuytun,RU,54.3419,101.5036,37.67,73,15,5.39,few clouds
166,Khatanga,RU,71.9667,102.5,10.15,93,100,8.14,overcast clouds
167,Kavaratti,IN,10.5669,72.642,82.51,75,43,2.48,scattered clouds
168,Tuktoyaktuk,CA,69.4541,-133.0374,29.03,82,8,9.37,clear sky
169,Tautira,PF,-17.7333,-149.15,77.02,80,49,15.73,light rain
170,Carnarvon,AU,-24.8667,113.6333,71.67,83,8,17.27,clear sky
171,Kappeln,DE,54.6612,9.9313,47.12,82,93,18.95,overcast clouds
172,Salalah,OM,17.0151,54.0924,81.37,61,54,7.67,broken clouds
173,Kodyma,UA,48.0988,29.1246,65.16,39,64,12.39,broken clouds
174,Malpe,IN,13.35,74.7167,87.1,72,97,6.51,overcast clouds
175,Kodiak,US,57.79,-152.4072,39.69,70,100,20.11,overcast clouds
176,Chuy,UY,-33.6971,-53.4616,60.46,73,6,2.37,light rain
177,Ulladulla,AU,-35.35,150.4667,61.88,93,2,4.94,clear sky
178,Vidim,RU,56.4088,103.1106,36.66,75,35,4.76,scattered clouds
179,Alekseyevsk,RU,57.8406,108.3492,34.68,89,45,5.77,scattered clouds
180,Giyani,ZA,-23.3025,30.7187,92.3,23,46,1.43,scattered clouds
181,Guerrero Negro,MX,27.9769,-114.0611,65.66,83,0,9.71,clear sky
182,Hermanus,ZA,-34.4187,19.2345,70.81,60,57,27.83,broken clouds
183,Lubango,AO,-14.9172,13.4925,83.68,22,43,4.85,scattered clouds
184,Katsuura,JP,35.1333,140.3,54.19,92,100,20.31,overcast clouds
185,Keti Bandar,PK,24.1447,67.4497,82.09,64,84,19.82,broken clouds
186,Awbari,LY,26.5921,12.7805,85.69,19,95,18.61,overcast clouds
187,Saint George,US,37.1041,-113.5841,65.35,62,1,0.0,clear sky
188,Manali,IN,13.1667,80.2667,89.69,65,88,7.99,overcast clouds
189,Sitka,US,57.0531,-135.33,53.49,62,40,18.41,light rain
190,Rocha,UY,-34.4833,-54.3333,61.2,72,40,4.36,scattered clouds
191,Sakakah,SA,29.9697,40.2064,85.8,21,0,10.29,clear sky
192,Maracaibo,VE,10.6317,-71.6406,76.53,87,1,2.35,clear sky
193,Dingle,PH,10.9995,122.6711,76.46,92,100,6.82,overcast clouds
194,La Ronge,CA,55.1001,-105.2842,30.33,60,0,8.12,clear sky
195,Bredasdorp,ZA,-34.5322,20.0403,70.29,34,46,20.13,scattered clouds
196,Okha,RU,53.5739,142.9478,29.86,88,44,11.68,scattered clouds
197,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,81.19,74,50,8.66,scattered clouds
198,Gravenhurst,CA,44.9168,-79.3663,37.56,93,75,12.66,light snow
199,Hilo,US,19.7297,-155.09,72.28,77,20,5.75,few clouds
200,Huari,PE,-9.3333,-77.2333,41.09,94,64,1.12,broken clouds
201,Manokwari,ID,-0.8667,134.0833,79.86,79,97,9.22,overcast clouds
202,Kaeo,NZ,-35.1,173.7833,59.32,97,100,19.26,light rain
203,Merauke,ID,-8.4667,140.3333,82.31,77,78,10.45,broken clouds
204,San Jose,US,37.3394,-121.895,65.64,77,20,1.01,few clouds
205,Podujevo,XK,42.9106,21.1931,63.39,64,97,7.4,overcast clouds
206,Jining,CN,35.405,116.5814,55.47,50,100,6.15,light rain
207,Posse,BR,-14.0931,-46.3694,75.49,70,53,3.91,broken clouds
208,Mackay,AU,-21.15,149.2,79.05,85,37,14.74,scattered clouds
209,El Carmen,CO,8.5106,-73.4478,65.59,96,26,2.1,scattered clouds
210,Buluang,PH,13.3068,123.3425,77.92,88,73,5.21,broken clouds
211,Hamilton,US,39.1834,-84.5333,53.4,87,90,5.75,overcast clouds
212,Norwich,GB,52.6278,1.2983,55.18,73,40,3.0,scattered clouds
213,Port Blair,IN,11.6667,92.75,82.42,77,82,1.21,broken clouds
214,Faya,SA,18.3851,42.4509,77.52,13,28,10.94,scattered clouds
215,Pangoa,PE,-12.1167,-73.0,72.19,78,88,1.39,overcast clouds
216,Cooma,AU,-36.2333,149.1333,52.23,92,54,2.55,broken clouds
217,Leningradskiy,RU,69.3833,178.4167,5.59,86,99,8.21,overcast clouds
218,Grand Gaube,MU,-20.0064,57.6608,78.39,69,25,10.0,scattered clouds
219,Hualmay,PE,-11.0964,-77.6139,61.48,89,68,7.78,broken clouds
220,Temirtau,KZ,50.0544,72.9483,37.26,40,99,22.91,light rain
221,Harkany,HU,45.85,18.2367,56.34,94,90,8.05,overcast clouds
222,Jinka,ET,5.65,36.65,81.72,36,92,0.2,overcast clouds
223,Yining,CN,29.0361,114.5636,54.81,77,95,3.6,overcast clouds
224,Fort-Shevchenko,KZ,44.5086,50.263,61.56,76,1,26.4,clear sky
225,Kefalos,GR,36.7453,26.9589,73.62,53,20,8.05,few clouds
226,Bambous Virieux,MU,-20.3428,57.7575,78.22,69,61,12.26,broken clouds
227,Nabire,ID,-3.3667,135.4833,73.96,93,100,4.52,overcast clouds
228,Kruisfontein,ZA,-34.0033,24.7314,64.89,85,100,10.58,light rain
229,Vao,NC,-22.6667,167.4833,73.0,84,18,3.31,few clouds
230,Saldanha,ZA,-33.0117,17.9442,65.17,62,99,23.0,overcast clouds
231,Altay,CN,47.8667,88.1167,46.29,42,60,4.7,broken clouds
232,Tongchuan,CN,35.0806,109.0897,49.8,52,100,5.44,overcast clouds
233,Jalu,LY,29.0331,21.5482,82.2,26,8,5.7,clear sky
234,Bathsheba,BB,13.2167,-59.5167,84.81,70,40,23.02,scattered clouds
235,Komsomolets,KZ,53.7453,62.0708,45.7,88,98,14.92,overcast clouds
236,Beyneu,KZ,45.3167,55.2,62.83,37,62,14.72,broken clouds
237,Mumford,GH,5.2618,-0.759,81.95,76,100,9.46,light rain
238,Quesnel,CA,52.9999,-122.5029,54.41,54,100,13.62,overcast clouds
239,Westport,US,41.1415,-73.3579,66.02,84,75,5.99,broken clouds
240,Upernavik,GL,72.7868,-56.1549,18.19,94,99,9.8,light snow
241,Pacific Grove,US,36.6177,-121.9166,62.42,89,75,5.01,mist
242,Angoche,MZ,-16.2325,39.9086,81.75,49,66,10.94,broken clouds
243,Jipijapa,EC,-1.3333,-80.5833,67.5,90,100,4.56,overcast clouds
244,Atar,MR,20.5169,-13.0499,87.6,15,41,13.29,scattered clouds
245,Bobcaygeon,CA,44.5462,-78.542,41.86,82,100,9.78,overcast clouds
246,Wasilla,US,61.5814,-149.4394,36.75,85,1,3.0,fog
247,Prescott Valley,US,34.5894,-112.3252,54.28,40,94,2.06,overcast clouds
248,Healesville,AU,-37.65,145.5167,64.62,91,76,1.01,broken clouds
249,Uruzgan,AF,32.8333,66.0,66.99,15,0,6.02,clear sky
250,Menemen,TR,38.6075,27.0694,72.77,44,0,5.75,clear sky
251,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.89,78,79,2.28,broken clouds
252,Menongue,AO,-14.6585,17.691,90.12,28,68,2.57,broken clouds
253,Nalut,LY,30.3333,10.85,86.67,22,31,19.57,scattered clouds
254,Borovskoy,KZ,53.8,64.15,44.6,79,93,13.11,overcast clouds
255,Porto Novo,BJ,6.4965,2.6036,89.83,55,68,4.41,broken clouds
256,Tatvan,TR,38.5067,42.2817,61.66,32,0,4.81,clear sky
257,Touros,BR,-5.1989,-35.4608,85.1,69,97,10.83,overcast clouds
258,Luanda,AO,-8.8368,13.2343,77.5,75,93,1.59,overcast clouds
259,Kentau,KZ,43.5206,68.5094,44.69,41,79,8.21,broken clouds
260,Batemans Bay,AU,-35.7167,150.1833,63.1,95,6,3.65,clear sky
261,Port Augusta,AU,-32.5,137.7667,69.71,73,94,18.25,overcast clouds
262,Adre,TD,13.4667,22.2,90.95,19,82,17.98,broken clouds
263,Culebra,PR,18.303,-65.301,83.19,64,9,20.02,clear sky
264,Marawi,PH,7.9986,124.2928,73.65,94,89,2.53,overcast clouds
265,Banyo,CM,6.75,11.8167,75.92,72,85,6.55,light rain
266,Mikun,RU,62.3547,50.0771,44.24,97,100,9.84,overcast clouds
267,Lac-Megantic,CA,45.5834,-70.8823,52.21,97,92,5.66,overcast clouds
268,Beringovskiy,RU,63.05,179.3167,18.9,88,100,14.7,light snow
269,Gornopravdinsk,RU,60.05,69.9,32.45,95,100,9.64,light snow
270,Xichang,CN,27.8964,102.2634,49.26,91,100,0.47,overcast clouds
271,Bouca,CF,6.5105,18.2733,86.36,56,84,5.86,broken clouds
272,Trincomalee,LK,8.5711,81.2335,83.88,73,80,8.95,broken clouds
273,Narsaq,GL,60.9167,-46.05,32.22,85,100,5.61,light snow
274,Chebsara,RU,59.2002,38.8356,49.33,65,40,14.65,scattered clouds
275,Lorengau,PG,-2.0226,147.2712,80.58,72,100,8.48,overcast clouds
276,Sawtell,AU,-30.3833,153.1,70.12,92,90,8.05,overcast clouds
277,Vaini,TO,-21.2,-175.2,71.76,88,40,9.22,scattered clouds
278,Rabo De Peixe,PT,37.8,-25.5833,69.31,73,20,4.61,few clouds
279,Saint Anthony,US,45.0205,-93.218,35.31,87,1,0.0,clear sky
280,North Myrtle Beach,US,33.816,-78.68,73.06,88,90,1.01,overcast clouds
281,Alexandria,EG,31.2156,29.9553,75.18,51,54,11.9,broken clouds
282,Poum,NC,-20.2333,164.0167,75.33,73,0,5.39,clear sky
283,Milkovo,RU,54.7167,158.6167,23.18,83,66,5.59,broken clouds
284,Ayan,RU,56.45,138.1667,39.33,65,100,11.81,overcast clouds
285,Matay,EG,28.419,30.7792,81.93,33,0,14.81,clear sky
286,Deputatskiy,RU,69.3,139.9,-7.8,100,100,1.32,overcast clouds
287,Manicore,BR,-5.8092,-61.3003,75.69,89,100,3.06,overcast clouds
288,Pemba,MZ,-12.974,40.5178,78.46,63,25,11.61,scattered clouds
289,Goure,NE,13.9835,10.2704,95.02,26,2,8.39,clear sky
290,Bealanana,MG,-14.55,48.7333,86.0,34,63,12.01,broken clouds
291,Saint-Augustin,CA,51.226,-58.6502,34.72,76,14,4.81,few clouds
292,Bima,ID,-8.4667,118.7167,80.64,78,57,6.04,broken clouds
293,Medea,DZ,36.2642,2.7539,64.85,31,1,6.04,clear sky
294,Vostok,RU,46.4856,135.8833,26.89,85,82,3.04,broken clouds
295,Severo-Kurilsk,RU,50.6789,156.125,38.59,77,74,9.13,broken clouds
296,Carballo,ES,43.213,-8.691,62.01,82,50,8.46,scattered clouds
297,Paamiut,GL,61.994,-49.6678,36.82,78,99,16.96,overcast clouds
298,Kon Tum,VN,14.35,108.0,73.17,86,59,4.32,broken clouds
299,Juneau,US,58.3019,-134.4197,44.83,97,90,0.0,fog
300,Bequimao,BR,-2.4489,-44.7825,84.52,84,99,2.62,overcast clouds
301,Yeppoon,AU,-23.1333,150.7333,78.58,89,84,9.46,broken clouds
302,Oktyabrskoye,RU,43.0645,44.7417,71.74,31,0,2.24,clear sky
303,Coahuayana,MX,18.7333,-103.6833,77.31,90,99,3.51,overcast clouds
